name_firm,street_name,category
Феникс,ул. Катунина 8 ,Кухонная мебель
Robolab,ул. Мазурова 13 ,Наука и образование
Исткон Бел,ул. 2-я Революционная 8 ,Товары для дома и дачи
Почта России,ул. Советская 15 ,Почта
Милашка,ул. проспект Космонавтов 21 ,Товары для дома и дачи
Baby Time,ул. Речицкий проспект 42 ,Наука и образование
СтройТрейдГрупп,ул. Артиллерийская 6 (Индекс: 246022),Стройматериалы
"Гомельский государственный колледж искусств им. Н. Ф. Соколовского, корпус № 2",ул. Крестьянская 1 ,Наука и образование
Семерка,ул. Волотовская 1А ,Уход за внешностью
2-ое городское отделение милиции ОВД администрации Железнодорожного района,ул. Фадеева 3/3 ,Государство
На Мохово,ул. Лещинская 2 ,Недвижимость
Сож-89,ул. Ирининская 25 ,Турагентство
Давыдовка,ул. проспект Октября 215 ,Транспорт и перевозки
Поликлиническое отделение № 2,ул. 8-я Иногородняя 1А ,Медицина и фармацевтика
Дверной стиль,ул. Карповича 35 ,Стройматериалы
Транспортная касса,ул. М.Г. Ефремова 65 ,Заказ и доставка билетов
Санаторий Машиностроитель,ул. Шоссейная 41 ,Отдых и туризм
Кафетерий,ул. Ильича 288 ,Быстрое питание
Lovim.by,ул. 60 лет СССР 5 ,Товары для рыбалки
Ландшафтэкосервис,ул. 3 квартал МЖК Солнечный ,Товары для дома и дачи
Отдел по гражданству и миграции,ул. Фадеева 3/3 ,Государство
Шиномонтаж,ул. Текстильная 5 ,Шиномонтаж
"Гомсельмаш, управление по работе с персоналом",ул. Рабочая 17 ,Производство и поставки
Начальная школа № 13,ул. Первомайская 6 ,Школы
Vape Shop,ул. Советская 134Б ,Товары для дома и дачи
Славия,ул. проспект Победы 21В ,Финансы
Дачник магазин ЧТУП Флоралэнд,ул. 24 микрорайон Энергетиков ,Товары для дома и дачи
Счёт-пром,ул. Головацкого 133 ,Производство и поставки
АвтоРусло,ул. Косарева 24 ,Автомобили
Грандтур,ул. Советская 61 ,Туризм
Студия современных ногтевых технологий,ул. Катунина 14 ,Наука и образование
Радиал,ул. Могилёвская 24 ,Установка кондиционеров
МТБанк,ул. Советская 97 ,Бизнес
Магазин,ул. Полесская 37 ,Товары для дома и дачи
QIWI,ул. Ильича 30 ,Платежный терминал
Сафира стиль,ул. Интернациональный проезд 17 ,Уход за внешностью
ФУД Баг центр,ул. Междугородняя 2 ,Товары для дома и дачи
Системные Бизнес-компоненты,ул. Гагарина 49 ,Компьютеры и интернет
Гаражно-потребительский кооператив № 8 Новобелицкого района,ул. Герцена 42 ,Автомобили
Ателье,ул. Головацкого 116 ,Ателье по пошиву одежды
Производство тротуарной плитки,ул. Стрельца 47 ,Стройматериалы
Эос матрасы,ул. Павлова 26 (Индекс: 246029),Продажа матрасов
Ваша Кухня,ул. Советская 134Б ,Мебель на заказ
Красный пищевик,ул. Ильича 30 ,Товары для дома и дачи
Latino Танцевально-спортивный клуб ИП С. Ф.,ул. Песина 30А ,Культура и искусство
Сушилка,ул. Советская 97 ,Кафе
Дуплет,ул. Интернациональная 46 ,Развлечения
Центральный,ул. площадь Восстания 1 (Индекс: 246022),Спорт
Белпочта,ул. Барыкина 1 ,Почта
Кудри,ул. Артиллерийская 2 (Индекс: 246022),Уход за внешностью
Спецодежда,ул. Карповича 28 ,Производство и поставки
Улица Каменецкая,ул. Красносельская 2 ,Транспорт и перевозки
Юрист Шамкин О. В.,ул. Артиллерийская 2 (Индекс: 246022),Бытовые услуги
Автоматическая телефонная станция,ул. Матросова 3 ,Телефонная связь
Офистон,ул. Крестьянская 1А ,Бытовая техника
Проспект 28,ул. проспект Ленина 28 ,Бады
Энергонадзор,ул. Калинина 2А ,Органы госнадзора
Ггту им. П. О. Сухого филиал кафедры металлургия и литейное производство,ул. Междугородняя 24 ,Наука и образование
Добрыя леки,ул. Барыкина 183 ,Медицина и фармацевтика
Гражданство и миграция Брест,ул. проспект Ленина 45 ,Миграционные службы
Католический храм Рождения Божьей Матери,ул. Советская 118 ,Религия
Приорбанк,ул. Советская 41 ,Бизнес
Свадебный сток Невеста плюс жених,ул. Карповича 7 ,Организация праздников
Магазин продуктов,ул. Максима Богдановича 16А ,Товары для дома и дачи
Domino’s Pizza,ул. Советская 46 ,Кафе
Гвардейская 24 магазин Промизделия Трейд,ул. Гвардейская 24 ,Товары для дома и дачи
Швейная мастерская,ул. проспект Октября 67 (Индекс: 246029),Ателье по пошиву одежды
Мусорная площадка,ул. Столярная 4 ,Бытовые услуги
СОЖ 2,ул. 8-я Иногородняя 2 ,Строительство и недвижимость
Табакерка,ул. Косарева 2А ,Товары для дома и дачи
Евросеть,ул. Советская 60А ,Телекоммуникации и связь
Дружба,ул. Малайчука 6А ,АЗС
Ювелир-Карат,ул. проспект Ленина 51 ,Товары для дома и дачи
Мисс Тур,ул. Гагарина 46 ,Турагентство
Мусорная площадка,ул. проспект Октября 11 ,Бытовые услуги
Декор 1 Премиум,ул. Речицкий проспект 22 (Индекс: 246027),Стройматериалы
Гспк-29 Железнодорожного района,ул. Интендантская 4/159 ,Автомобили
Эндокринолог Романов Георгий Никитич,ул. проспект Победы 8 (Индекс: 246022),Медицина и фармацевтика
Автомобильная парковка,ул. М.Г. Ефремова 63Б ,Автомобили
Ясли-сад № 142 г. Гомеля,ул. Жемчужная 14А ,Наука и образование
Гринвэй,ул. Ильича 91 ,Турагентство
